不错，照相效果一级棒，我喜欢,拍照效果好
不错。挺好用的，自拍也很不错。,拍照效果好
不错的，用了几天感觉还行，拍出来的照片效果也挺好的，就是卡要换最小的&hellip;&hellip;,拍照效果好
不错的安卓机，全金属机身很有手感，与ip6p对比薄了不少，配色也很好看，屏幕清晰，系统流畅，电池待机时间长，充电非常快。拍照相当清楚1600像素没得说，录像不太清楚不知是不是没调好。。。另外说好的赠品没有与手机一起配送，还需等几天。总的来说对的起这价钱，性价比不错。,摄像模糊
不错的正品手机，80岁的老妈用了很开心，拍照颜值都够，没时间发照，下次补吧,拍照效果好
不错老婆说照相好下次还会光顾的,拍照效果好
非常好用不错拍照神器,拍照效果好
不错手机太好了国产手机中拍照最好的很好比苹果手机好多了！！！屏幕大就是价格高点希望国产手机越来越好！！！！,拍照效果好
不错送了很多东西 ，发货也快手机 拍照也蛮好,拍照效果好
不错挺喜欢。照相可以。很好看。,拍照效果好
不到半个小时就充满了，蹭蹭的 音质很清澈 特别棒的拍照效果还有好多模式可以选 挺好的，都有信号 服务特别好的说，客服耐心，还特别体贴,拍照效果好
不得不承认我是个颜控，本来还犹豫着想买苹果的，那天看到OP出了这个红色，就很喜欢毫不犹豫的下单了，发货很快，手机拿到手挺惊喜的，比苹果薄轻，颜色样式我都喜欢，就是拍照片那个按钮偶尔会卡着，然后问了好几次售后，服务都很好，建议我去检测，昨天去检测过了，说是没问题，所以今天放心确认了，拍照效果，滑屏都非常不错的,拍照效果好
拍照效果好的不行 画面细腻，清晰没得说 电池容量大 充电速度超快节约很多时间 指纹秒解锁，没有任何卡顿 一直都是满格，WIFI信号比我之前的手机抢很多 1个多小时就能冲满，随时随地想冲就冲 客服服务很周到 我问的问题都有细心的回我,拍照效果好
充电很快，不耗电，应该是正品，拍照效果就是如图啦，还送了礼品，包包颜色不是很喜欢，整体来说还是可以的！,拍照效果好
手机非常流畅，不卡，充电快，费电那慢，待机时间长，感觉非常好，拍照也不错，自动美颜,拍照效果好
不可以连拍,相机功能少/弱
不愧是拍摄手机！,拍照效果好
不愧是拍照手机，拍照效果非常棒，镜头焦距堪比单反，而且使用流畅，内存充足，充电快,拍照效果好
刚用了一天，不愧是拍照手机没得说，感觉接收信号不是那么强，别的方面都还行吧。,拍照效果好
不是托！讲真的，这已经是在他们家买的第三把手机了。之前我自己买的是R9，我同学买的是R9S。特意用了两周才来评价，R9S的指纹确实比R9好，之前用R9的时候经常指纹识别不了，用R9s就没有发生过这样的问题。系统流畅，照相也很好。还有就是R9s多了一个应用分身，可以支持两个QQ，微信同时在线，对于有两个QQ或者微信的人来说是很方便的一件事。,拍照效果好
不是托！讲真的，这已经是在他们家买的第三把手机了。之前我自己买的是R9，我同学买的是R9S。特意用了两周才来评价，R9S的指纹确实比R9好，之前用R9的时候经常指纹识别不了，用R9s就没有发生过这样的问题。系统流畅，照相也很好。还有就是R9s多了一个应用分身，可以支持两个QQ，微信同时在线，对于有两个QQ或者微信的人来说是很方便的一件事。 快递很给力啊，两三天就到了。本来上午有事不在家，打电话让快递下午再送，结果在我出门前快递就来了，十分惊喜！客服也很耐心的给我解答，十分感谢,拍照效果好
刚开始用不习惯 用了几天很方便 最主要拍照真是不错 晚上拍出来也很好 包括细节 充电时间短 电池耗电低 喜欢 ~,拍照效果好
"不要问我为啥选择OPPO R9s ,当然是因为手机本身颜值高，拍照好，充电快到飞起！最最最重要的一点是wuli峰峰代言的啦！蜜蜂们！峰峰同款快快买起来！——李易峰小迷妹一枚！",拍照效果好
不用在这胡咧咧！我说句实话！我买的黑色r9s！颜值没的说！性能6的很！谁见谁眼馋！王者10连胜半点不卡！续航很好！拍照一级！充电速度一小时不到满了！很耐用！我之前用的苹果，苹果和这个我自我感觉没什么区别！总之谁买谁赚到！这么大的广告，不是白打的！它直接影响到众多明星的声誉！国产不丢人！真心感觉赚到了！,拍照效果好
不用在这胡咧咧！我说句实话！我买的黑色r9s！颜值没的说！性能6的很！谁见谁眼馋！王者10连胜半点不卡！续航很好！拍照一级！充电速度一小时不到满了！很耐用！我之前用的苹果，苹果和这个我自我感觉没什么区别！总之谁买谁赚到！这么大的广告，不是白打的！它直接影响到众多明星的声誉！国产不丢人！真心感觉赚到了！,拍照效果好
用了一段时间感觉挺好！不知道为什么手机拍照会很模糊！,拍照模糊/不清晰
运行速度非常快不知用一段时间怎么样希望保持。第一次买oppo手机，奔充电五分钟通话2小时去的。用了几天才来评论，手机外观非常漂亮，干净拍照效果很好，音质也不错，手机全新，出厂带透明壳，非常贴心！支持国产！苏宁易购发货不算快，还可以做无息分期，用新手机无压力,拍照效果好
"用了几天了才评价,手机还是蛮流畅的，手机续航很好，摄像功能不错呢，好评！",相机功能多/强
用了几天才说，总体感觉不错，拍照自带美颜功能，大爱啊！还送了手机壳，蓝牙音响，不错，无聊用影响听歌也不错！,相机功能多/强
差不多的光线下，左边是用旧手机拍的，右边是r9s拍的，拍照真的很赞。新年版外观也很漂亮，oppo硬件配置还是很棒的，旧手机用了两年还是很流畅，相信这款也很耐用,拍照效果好
产品送货速度没得说，当天买当天就到了，用了之后照相的效果确实特别好，充电速度确实快，给老婆买的，她很喜欢，没预约到新年版有些遗憾,拍照效果好
超好看。隔了两年又用回oppo。比以前多了几个卸载不掉的应用（嫌弃脸）。下载了50多个程序。不玩游戏。同时运行20个以上时会卡。闪充好评。拍照效果赞。指纹很好用。,拍照效果好
超棒！自拍效果杠杠滴！现在全家都在用OPPO了,拍照效果好
程序启动快，拍照效果不错。充电迅速,拍照效果好
冲着本命年买了新年红，我以前是三星铁粉，换过三部手机全是三星，这次是第一次买oppo。试用完感觉拍照效果真的不错，音乐播放的音质也很好，内存大可以下好多APP，而且外观红色十分喜庆耀眼，总体感觉是性价比很高的手机。,拍照效果好
冲着红色买的！真机比想象的还要好看，系统是定制的，非常好用。手感真的很好，准备裸奔用，拍照体验也非常地好，前后都1600w像素，nice！,拍照效果好
还行吧，冲着外观买的，拍照的确很好看，运行有点慢,拍照效果好
充电速度非常快，基本一个小时左右就充满了 这么大的屏幕，电量可以用一整天，比苹果手机好多了 音质很好，听歌很不错 主打的拍照手机，拍照效果肯定绝对的好 操作很流畅，一年后还能这么流畅就好了 服务很好，物流也很好当天早上下单，下午就送到了，,拍照效果好
充电5分钟装逼俩小时 果然给力 这大屏幕玩一天游戏 真心给力 电池抗用 充电一小时满了 运行大游戏非常流畅 6g 运行内存真心牛逼 速度嗷嗷地 客服态度非常好 真心给个赞 拍照就不用说了 单反效果实在牛逼 最好的还是4k高清录像 真是牛逼透了 我和老婆一人一台 玩的不亦乐乎,拍照效果好
充电不错，拍照也还好吧，总体来说还可以，玫瑰金也不是很玫瑰金,拍照效果好
很好看，充电飞快，拍照也很好，国货非常不错。值得购买,拍照效果好
充电速度：d真的很好用，电池也比以前耐用，而且内存也大，买来好几天了很不错，拍照也很好值得拥有哦。续航能力：强大。拍照效果：强大。音质：很好。操作流畅性：流畅。,拍照效果好
充电速度：不到半个小时就充满了，蹭蹭的。音质：音质很清澈。拍照效果：特别棒的拍照效果还有好多模式可以选。信号强度：挺好的，都有信号。,拍照效果好
充电速度：充电速度非常快，基本一个小时左右就充满了。续航能力：这么大的屏幕，电量可以用一整天，比苹果手机好多了。音质：音质很好，听歌很不错。拍照效果：主打的拍照手机，拍照效果肯定绝对的好。操作流畅性：操作很流畅，一年后还能这么流畅就好了。,拍照效果好
充电速度：充电速度还是挺快的。音质：还不错。拍照效果：还不错。操作流畅性：很顺畅。信号强度：很好。,拍照效果好
充电速度：充电速度神速 一个小时左右就充满了。续航能力：续航很不错一般正常用2天没问题。拍照效果：最不错的就是拍照了 绝对OK。操作流畅性：系统流畅度不会亚于ios系统 以前用的都是苹果手机 这次买oppor9s纠结了好长时间怕会卡 用了好多天了非常好的一款手机 还在考虑的买家不要再等了我不是托支持国货吧 您不会失望的。音质：音质也很好。,拍照效果好
充电速度：电池非常耐用，充电速度非常快。。信号强度：信号稳定。。续航能力：待机时间非常长，都不用带充电宝。。音质：音质效果非常好。拍照效果：拍照效果非常赞。。,拍照效果好
充电速度：还真快！。操作流畅性：流畅得很，速度快。信号强度：目前信号比之前所用的手机都强些。音质：不错，所送的音箱的音质也好。拍照效果：这个拍照效果真的好。,拍照效果好
充电速度：很快，vook闪充还是不错的。续航能力：还不错，用了一个半小时，电量消耗15%。信号强度：不错，信号在房子里挺好的。操作流畅性：很快，解锁比苹果快。拍照效果：好。,拍照效果好
充电速度：很快。操作流畅性：流畅。信号强度：还行。续航能力：很长。拍照效果：很好。,拍照效果好
充电速度：很快。音质：清新。信号强度：略好。操作流畅性：快。拍照效果：不错。,拍照效果好
充电速度：快。操作流畅性：好。续航能力：强。拍照效果：美。,拍照效果好
充电速度：快！。操作流畅性：强！。续航能力：棒！。信号强度：强！。拍照效果：棒 1。,拍照效果好
充电速度：还可以，蛮快的。。音质：音质很好，清晰。。续航能力：续航挺好的。拍照效果：拍照也可以，游玩还是用单反吧。操作流畅性：反应还可以吧。,拍照效果好
